[14:34:01] Displaygröße: 1440x900
[14:34:01] Modell geladen: /Users/timadmin/Dokumente/AppsProgramming/eye-tracker-test-data/models/fold1_dual_model.keras
[14:34:01] Kopfpose erwartet: True
[14:34:01] Vorhersage: x=0.341, y=0.774 → Pixel: 491, 696 Yaw=-3.2°, Pitch=4.9°, Roll=-0.1°
[14:34:02] Vorhersage: x=0.333, y=0.770 → Pixel: 479, 692 Yaw=-1.0°, Pitch=-0.7°, Roll=-2.6°
[14:34:02] Vorhersage: x=0.358, y=0.766 → Pixel: 516, 689 Yaw=5.6°, Pitch=-4.9°, Roll=-5.0°
[14:34:02] Vorhersage: x=0.378, y=0.750 → Pixel: 543, 675 Yaw=-3.5°, Pitch=6.5°, Roll=2.2°
[14:34:02] Vorhersage: x=0.366, y=0.546 → Pixel: 527, 491 Yaw=-3.1°, Pitch=6.1°, Roll=1.9°
[14:34:02] Vorhersage: x=0.350, y=0.504 → Pixel: 504, 453 Yaw=-3.1°, Pitch=6.0°, Roll=-1.3°
[14:34:02] Vorhersage: x=0.362, y=0.487 → Pixel: 521, 438 Yaw=-2.5°, Pitch=-4.5°, Roll=-8.3°
[14:34:02] Vorhersage: x=0.356, y=0.409 → Pixel: 513, 367 Yaw=-3.0°, Pitch=6.3°, Roll=-1.3°
[14:34:02] Vorhersage: x=0.362, y=0.376 → Pixel: 520, 338 Yaw=4.9°, Pitch=5.5°, Roll=7.5°
[14:34:02] Vorhersage: x=0.352, y=0.373 → Pixel: 506, 335 Yaw=4.0°, Pitch=4.7°, Roll=6.4°
[14:34:02] Vorhersage: x=0.344, y=0.381 → Pixel: 495, 343 Yaw=3.8°, Pitch=4.2°, Roll=6.0°
[14:34:03] Vorhersage: x=0.338, y=0.376 → Pixel: 486, 338 Yaw=-3.0°, Pitch=4.8°, Roll=-0.7°
[14:34:03] Vorhersage: x=0.373, y=0.339 → Pixel: 536, 304 Yaw=-3.5°, Pitch=6.4°, Roll=-1.6°
[14:34:03] Vorhersage: x=0.378, y=0.336 → Pixel: 543, 302 Yaw=-3.5°, Pitch=6.3°, Roll=-0.7°
