[14:57:52] Modell geladen: /Users/timadmin/Dokumente/AppsProgramming/eye-tracker-test-data/models/fold1_dual_model.keras
[14:57:52] Kopfpose erwartet: True
[14:57:52] Neue Displaygröße erkannt: 1440x900
[14:57:53] Neue Displaygröße erkannt: 1440x900
[14:57:53] Neue Displaygröße erkannt: 1440x900
[14:57:53] Neue Displaygröße erkannt: 1440x900
[14:57:53] Neue Displaygröße erkannt: 1440x900
[14:57:53] Neue Displaygröße erkannt: 1440x900
[14:57:53] Neue Displaygröße erkannt: 1440x900
[14:57:53] Neue Displaygröße erkannt: 1440x900
[14:57:53] Neue Displaygröße erkannt: 1440x900
[14:57:53] Neue Displaygröße erkannt: 1440x900
[14:57:54] Neue Displaygröße erkannt: 1440x900
[14:57:54] Neue Displaygröße erkannt: 1440x900
[14:57:54] Neue Displaygröße erkannt: 1440x900
[14:57:54] Neue Displaygröße erkannt: 1440x900
[14:57:54] Neue Displaygröße erkannt: 1440x900
[14:57:54] Neue Displaygröße erkannt: 1440x900
[14:57:54] Neue Displaygröße erkannt: 1440x900
[14:57:54] Neue Displaygröße erkannt: 1440x900
[14:57:54] Neue Displaygröße erkannt: 1440x900
[14:57:54] Neue Displaygröße erkannt: 1440x900
[14:57:55] Neue Displaygröße erkannt: 1440x900
[14:57:55] Neue Displaygröße erkannt: 1440x900
[14:57:55] Neue Displaygröße erkannt: 1440x900
[14:57:55] Neue Displaygröße erkannt: 1440x900
[14:57:55] Neue Displaygröße erkannt: 1440x900
[14:57:55] Neue Displaygröße erkannt: 1440x900
[14:57:55] Neue Displaygröße erkannt: 1440x900
[14:57:55] Neue Displaygröße erkannt: 1440x900
[14:57:56] Neue Displaygröße erkannt: 1440x900
[14:57:56] Neue Displaygröße erkannt: 1440x900
[14:57:56] Neue Displaygröße erkannt: 1440x900
[14:57:56] Neue Displaygröße erkannt: 1440x900
[14:57:56] Neue Displaygröße erkannt: 1440x900
[14:57:56] Neue Displaygröße erkannt: 1440x900
[14:57:56] Neue Displaygröße erkannt: 1440x900
[14:57:56] Neue Displaygröße erkannt: 1440x900
[14:57:56] Neue Displaygröße erkannt: 1440x900
[14:57:57] Neue Displaygröße erkannt: 1440x900
[14:57:57] Neue Displaygröße erkannt: 1440x900
[14:57:57] Neue Displaygröße erkannt: 1440x900
[14:57:57] Neue Displaygröße erkannt: 1440x900
[14:57:57] Neue Displaygröße erkannt: 1440x900
[14:57:57] Neue Displaygröße erkannt: 1440x900
[14:57:57] Neue Displaygröße erkannt: 1440x900
[14:57:57] Neue Displaygröße erkannt: 1440x900
[14:57:58] Neue Displaygröße erkannt: 1440x900
[14:57:58] Neue Displaygröße erkannt: 1440x900
[14:57:58] Neue Displaygröße erkannt: 1440x900
[14:57:58] Neue Displaygröße erkannt: 1440x900
[14:57:59] Neue Displaygröße erkannt: 1440x900
[14:57:59] Neue Displaygröße erkannt: 1440x900
[14:57:59] Neue Displaygröße erkannt: 1440x900
[14:57:59] Neue Displaygröße erkannt: 1440x900
[14:57:59] Neue Displaygröße erkannt: 1440x900
[14:57:59] Neue Displaygröße erkannt: 1440x900
[14:57:59] Neue Displaygröße erkannt: 1440x900
[14:57:59] Neue Displaygröße erkannt: 1440x900
[14:57:59] Neue Displaygröße erkannt: 1440x900
[14:57:59] Neue Displaygröße erkannt: 1440x900
[14:58:00] Neue Displaygröße erkannt: 1440x900
[14:58:00] Neue Displaygröße erkannt: 1440x900
[14:58:00] Neue Displaygröße erkannt: 1440x900
[14:58:00] Neue Displaygröße erkannt: 1440x900
[14:58:00] Neue Displaygröße erkannt: 1440x900
[14:58:00] Neue Displaygröße erkannt: 1440x900
[14:58:00] Neue Displaygröße erkannt: 1440x900
[14:58:00] Neue Displaygröße erkannt: 1440x900
[14:58:01] Neue Displaygröße erkannt: 1440x900
[14:58:01] Neue Displaygröße erkannt: 1440x900
[14:58:01] Neue Displaygröße erkannt: 1440x900
[14:58:01] Neue Displaygröße erkannt: 1440x900
[14:58:01] Neue Displaygröße erkannt: 1440x900
[14:58:01] Neue Displaygröße erkannt: 1440x900
[14:58:01] Neue Displaygröße erkannt: 1440x900
[14:58:01] Neue Displaygröße erkannt: 1440x900
[14:58:01] Neue Displaygröße erkannt: 1440x900
[14:58:01] Neue Displaygröße erkannt: 1440x900
